,,,,,,,,,,,,,,,,,,,,
,I will use local seller based in the EU to avoid the new tarrif. (https://www.gme.cz/). I also included LCSC breakdown and downloadable cart.,,,,,,,,,,,,The whole LCSC cart can be downloaded on GitHub. (To check all the prices and links).,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Breakdown from GME.CZ,,,,,,,,,,,,Id,Symbol,Footprint,Quantity,Description,LCSC ID,USD Price,
,Part:,Code:,Ordering quantity (MOQ):,Price (CZK):,,,,,,,,,1,Q6.Q3,TO-252-2,2,IRLZ44N,C2680878,2.11,
,IRFR9024NTRPBF (same alternative),915-060,2,38,,,,,,,,,2,R4.R6,R_0805_2012Metric,2,100R,C2907218,0.23,
,IRLR2905PBF (same alternative),915-014,2,66,,,,,,,,,3,C3.C2.C5.C4,C_0805_2012Metric,4,100nF,C49678,0.65,
,100R 0805,901-212,4,20,,,,,,,,,4,Q5.Q1,TO-252-2,2,IRFR9024N,C41430593,0.45,
,100nF 50V,906-096,7,15.4,,,,,,,,,5,R8.R3.R2.R7,R_0805_2012Metric,4,10K,C2907219,0.22,
,10K 0805,901-176,5,20,,,,,,,,,6,D3.D4.D1.D2,D_SMA,4,SS34,C908680,0.66,
,SS34,920-028,4,32.4,,,,,,,,,7,M1,JST_NV_B02P-NV_1x02_P5.00mm_Vertical,1,Motor_DC,,,
,BC847,912-017,11,20.9,,,,,,,,,8,Q2.Q4,SOT-23,2,BC847,C57668,0.82,
,1K 0805,901-029,5,15,,,,,,,,,9,R5.R1,R_0805_2012Metric,2,1K,C2907232,0.22,
,470uF 25V,908-032,3,27.26,1USD=20.85CZK,,,,,,,,10,C1,CP_Elec_10x10,1,470uF,C72518,0.57,
,Local shipping,,,69,,,,,,,,,11,J1,JST_NV_B02P-NV_1x02_P5.00mm_Vertical,1,PWR_IN,C474881,0.5,
,,,TOTAL IN CZK:,323.96,,15.54USD,,,,,,,12,J2,PinHeader_1x04_P2.54mm_Vertical,1,LOGIC_IN,C52016392,0.62,
,,,,,, +8.44USD,PCB From JLCPCB,,,,,,13,,LCSC Handling fee,1,,,3,
,,,,,TOTAL:,23.98USD,,,,,,,14,,LCSC Shipping,1,,,10.02,
,,,,Amount for requesting:,,26USD,,,,,,,15,,JLCPCB PCB,1,PCB,,4.24,
,,,,,,,,,,,,,,,,,,Item Total:,24.31,
,,,,,,,,,,,,,I will not be using this cart/LCSC due to the new high tarrifs for EU. instead I  ,,,,,,,
,,,,,,,,,,,,,will use a seller from my country (GME.CZ). but I also included LCSC so you,,,,,,,
,,,,,,,,,,,,,can purchase and complete this project too.,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,, + 69CZK shipping,,,,,,,,,,,,,,,,
